LAMMPS (23 Jun 2022 - Update 4)
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392
Created orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  1 by 2 by 5 MPI processor grid
Created 64000 atoms
  using lattice units in orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  create_atoms CPU = 0.003 seconds
32000 atoms in group Ba
32000 atoms in group O
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:471)
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:471)
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:471)
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 8 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 8.384 | 9.056 | 9.533 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
     32000   1297.8291     -233948.54      0             -223212.23      51174.271      1370065.7    
     32500   1293.2223     -233998.28      0             -223300.07      50942.141      1370342.5    
     33000   1288.8801     -234030.89      0             -223368.6       50491.659      1370618.5    
     33500   1283.5879     -234020.2       0             -223401.7       50520.726      1370893.6    
     34000   1288.558      -234049.88      0             -223390.26      50449.919      1371167.6    
     34500   1292.4955     -234030.42      0             -223338.23      50313.286      1371440.4    
     35000   1296.1192     -233983.17      0             -223261         50259.063      1371711.8    
     35500   1301.1942     -233942.9       0             -223178.74      50562.359      1371981.8    
     36000   1310.0692     -233951.21      0             -223113.64      50315.264      1372250.3    
     36500   1309.9492     -233918.86      0             -223082.28      50328.834      1372517.2    
     37000   1308.6227     -233917.97      0             -223092.36      50188.394      1372782.4    
     37500   1303.0164     -233919.5       0             -223140.27      50037.112      1373045.9    
     38000   1302.3873     -233987.39      0             -223213.37      49733.202      1373307.7    
     38500   1297.8564     -234027.52      0             -223290.98      49436.679      1373567.5    
     39000   1296.842      -234080.88      0             -223352.73      48959.722      1373825.5    
     39500   1292.9323     -234078.89      0             -223383.08      48905.863      1374081.6    
     40000   1288.0643     -234030.69      0             -223375.15      49012.173      1374335.7    
     40500   1293.013      -234026.98      0             -223330.51      49024.663      1374588      
     41000   1299.3117     -234010.61      0             -223262.03      48980.622      1374838.3    
     41500   1299.6266     -233938.53      0             -223187.35      49283.372      1375086.9    
     42000   1311.6115     -233976.78      0             -223126.45      48940.645      1375333.8    
     42500   1307.0062     -233907.99      0             -223095.76      49071.527      1375579      
     43000   1306.6692     -233911.06      0             -223101.61      49123.701      1375822.6    
     43500   1302.1911     -233915.46      0             -223143.05      49042.808      1376064.6    
     44000   1301.8666     -233977.38      0             -223207.66      48497.957      1376305.2    
     44500   1295.0928     -233990.79      0             -223277.11      48344.494      1376544.4    
     45000   1292.7249     -234028.06      0             -223333.97      47850.776      1376782.2    
     45500   1290.1444     -234036.86      0             -223364.11      47813.129      1377018.7    
     46000   1294.3659     -234066.77      0             -223359.11      47588.959      1377254      
     46500   1290.3723     -233995.92      0             -223321.29      47881.237      1377488.2    
     47000   1299.6459     -234012.04      0             -223260.69      47696.447      1377721.3    
     47500   1303.8751     -233979.6       0             -223193.26      47832.445      1377953.6    
     48000   1302.0168     -233908.35      0             -223137.39      48080.343      1378185      
     48500   1308.3423     -233930.18      0             -223106.89      47796.277      1378415.6    
     49000   1310.9363     -233954.21      0             -223109.46      47672.005      1378645.7    
     49500   1308.8467     -233972.39      0             -223144.93      47517.773      1378875.2    
     50000   1299.8925     -233955.86      0             -223202.48      47422.211      1379104.2    
     50500   1297.1796     -233997.38      0             -223266.44      47228.708      1379332.8    
     51000   1299.0039     -234066.2       0             -223320.17      46851.019      1379561      
     51500   1291.5916     -234033.99      0             -223349.28      46678.474      1379789      
     52000   1293.9719     -234051.66      0             -223347.25      46715.53       1380016.6    
     52500   1297.1647     -234044.5       0             -223313.68      46597.955      1380244.1    
     53000   1298.192      -233997.34      0             -223258.02      46669.702      1380471.4    
     53500   1300.976      -233957.19      0             -223194.84      46741.973      1380698.7    
     54000   1310.75       -233984.19      0             -223140.99      46656.057      1380926      
     54500   1304.8944     -233904.41      0             -223109.65      46858.894      1381153.4    
     55000   1304.9652     -233904.32      0             -223108.97      46893.86       1381381      
     55500   1299.1884     -233886.27      0             -223138.71      46598.459      1381608.7    
     56000   1294.0606     -233895.78      0             -223190.64      46516.946      1381836.6    
     56500   1303.2356     -234030.75      0             -223249.71      45948.952      1382064.7    
     57000   1294.0268     -234005.4       0             -223300.53      45852.423      1382293      
     57500   1290.7996     -234009.15      0             -223330.98      45880.418      1382521.6    
     58000   1297.1169     -234063.06      0             -223332.63      45630.207      1382750.3    
     58500   1291.1302     -233986.54      0             -223305.64      45758.396      1382979.4    
     59000   1295.042      -233969.38      0             -223256.12      45634.54       1383208.6    
     59500   1301.3211     -233963.17      0             -223197.97      45610.023      1383438.2    
     60000   1307.5607     -233963.04      0             -223146.21      45697.951      1383668.1    
     60500   1300.8359     -233875.23      0             -223114.04      45874.024      1383898.3    
     61000   1307.4593     -233925.58      0             -223109.59      45396.284      1384128.8    
     61500   1302.5698     -233910.48      0             -223134.95      45627.418      1384359.6    
     62000   1304.0419     -233969.46      0             -223181.75      45214.264      1384590.8    
     62500   1295.4946     -233954.31      0             -223237.3       45101.696      1384822.2    
     63000   1296.2183     -234009.86      0             -223286.87      44756.108      1385053.8    
     63500   1292.7935     -234011.89      0             -223317.23      44611.604      1385285.7    
     64000   1287.6381     -233972.67      0             -223320.66      44564.594      1385517.7    
     64500   1300.0202     -234049.7       0             -223295.25      44305.399      1385749.9    
     65000   1297.2009     -233979.8       0             -223248.68      44664.869      1385982.2    
     65500   1299.1694     -233940.03      0             -223192.62      44649.373      1386214.7    
     66000   1307.3768     -233958.44      0             -223143.14      44547.2        1386447.2    
     66500   1307.8146     -233930.97      0             -223112.05      44634.025      1386679.9    
     67000   1305.8437     -233909.93      0             -223107.31      44650.747      1386912.6    
     67500   1304.4927     -233921.19      0             -223129.74      44214.201      1387145.4    
     68000   1301.79       -233941.68      0             -223172.6       43994.953      1387378.3    
     68500   1297.3212     -233956.55      0             -223224.43      43820.255      1387611      
     69000   1298.9057     -234015.59      0             -223270.37      43703.445      1387843.7    
     69500   1292.2539     -233988.38      0             -223298.18      43743.242      1388076.3    
     70000   1296.5103     -234026.03      0             -223300.62      43581.613      1388308.6    
     70500   1295.347      -233993.41      0             -223277.63      43342.357      1388540.8    
     71000   1297.999      -233973.1       0             -223235.38      43613.675      1388772.7    
     71500   1301.1629     -233949.19      0             -223185.3       43510.624      1389004.3    
     72000   1303.7008     -233924.59      0             -223139.7       43651.221      1389235.7    
     72500   1299.0121     -233855.65      0             -223109.55      43645.104      1389466.8    
     73000   1308.2969     -233925.94      0             -223103.02      43227.05       1389697.5    
     73500   1303.9581     -233909.55      0             -223122.53      43429.863      1389927.9    
     74000   1303.9116     -233947.28      0             -223160.64      42922.452      1390157.9    
     74500   1300.6295     -233967.78      0             -223208.29      42898.044      1390387.4    
     75000   1292.7077     -233945.66      0             -223251.71      43072.877      1390616.4    
     75500   1295.2081     -233993.39      0             -223278.75      42582.319      1390845      
     76000   1288.3248     -233940.52      0             -223282.83      42636.263      1391072.9    
     76500   1298.3539     -234003.33      0             -223262.67      42371.805      1391300.2    
     77000   1295.5968     -233941.29      0             -223223.44      42826.372      1391526.9    
     77500   1307.055      -233988.23      0             -223175.59      42482.575      1391753      
     78000   1308.8849     -233960.29      0             -223132.51      42253.258      1391978.5    
     78500   1296.2237     -233826.7       0             -223103.66      42792.34       1392203.3    
     79000   1306.6699     -233905.29      0             -223095.84      42369.874      1392427.4    
     79500   1308.1247     -233933.64      0             -223112.15      42100.192      1392650.9    
     80000   1301.9001     -233917.03      0             -223147.04      42199.131      1392873.7    
     80500   1300.543      -233949.99      0             -223191.22      41872.787      1393095.7    
     81000   1297.6161     -233966.76      0             -223232.21      41703.646      1393317      
     81500   1296.0405     -233980.52      0             -223259         41713.551      1393537.5    
     82000   1294.422      -233972.36      0             -223264.23      41656.384      1393757.1    
     82500   1291.3338     -233929.47      0             -223246.88      41793.9        1393976      
     83000   1294.2327     -233917.56      0             -223211         41697.309      1394194.1    
     83500   1305.0452     -233962.45      0             -223166.43      41662.08       1394411.3    
     84000   1303.6441     -233908.99      0             -223124.57      41441.182      1394627.7    
     84500   1299.5767     -233846.36      0             -223095.59      41797.373      1394843.4    
     85000   1299.4191     -233836.34      0             -223086.87      41695.315      1395058.2    
     85500   1306.5176     -233909.21      0             -223101.01      41200.259      1395272.2    
     86000   1298.7963     -233877.7       0             -223133.38      41213.646      1395485.4    
     86500   1298.1504     -233914.38      0             -223175.41      41032.536      1395697.8    
