0,700,-30477.63,0,-29753.863,4236.0571
500,675.2723,-29756.986,0,-29058.787,32518.059
1000,716.87239,-29811.492,0,-29070.28,30806.914
1500,687.77661,-29794.962,0,-29083.834,31480.745
2000,696.7947,-29799.922,0,-29079.47,31484.204
2500,696.915,-29789.721,0,-29069.144,31580.144
3000,704.09043,-29790.164,0,-29062.168,31911.936
3500,707.56113,-29793.17,0,-29061.586,31573.352
4000,699.27769,-29786.596,0,-29063.576,31628.708
4500,704.11276,-29790.066,0,-29062.047,31870.535
5000,700.16896,-29796.535,0,-29072.594,31236.803
5500,707.63066,-29787.874,0,-29056.218,31895.395
6000,698.13911,-29788.692,0,-29066.85,31642.135
6500,699.26061,-29790.157,0,-29067.155,31955.743
7000,695.56755,-29788.791,0,-29069.607,31832.275
7500,705.33438,-29795.113,0,-29065.831,31446.109
8000,691.34523,-29799.177,0,-29084.359,31449.713
8500,703.68597,-29795.574,0,-29067.996,31467.849
9000,704.02043,-29795.239,0,-29067.316,31383.578
9500,690.63415,-29799.729,0,-29085.646,31238.908
10000,694.91895,-29794.146,0,-29075.634,31584.484
10500,692.24827,-29791.031,0,-29075.28,31547.53
11000,696.93944,-29789.958,0,-29069.356,31663.589
11500,695.82458,-29789.905,0,-29070.455,31872.984
12000,699.49789,-29799.573,0,-29076.326,31387.868
12500,691.8605,-29799.073,0,-29083.722,31472.332
13000,701.14653,-29792.136,0,-29067.184,31742.258
13500,698.84625,-29792.869,0,-29070.295,31597.407
14000,693.97813,-29798.035,0,-29080.495,31368.244
14500,706.66122,-29795.537,0,-29064.883,31535.64
15000,695.05849,-29796.861,0,-29078.204,31353.845
15500,712.74553,-29789.416,0,-29052.472,31874.835
16000,696.87851,-29796.857,0,-29076.318,31430.259
16500,699.63311,-29783.046,0,-29059.659,32023.526
17000,700.14295,-29795.507,0,-29071.592,31318.389
17500,708.52656,-29783.015,0,-29050.432,32034.663
18000,693.99831,-29802.292,0,-29084.731,31440.573
