0,300,-243821.04,0,-241339.28,1637.0788,1359662.5
500,156.31624,-242578.33,0,-241285.2,7328.6369,1359664.4
1000,155.534,-242499.87,0,-241213.21,7781.8249,1359670.2
1500,164.99854,-242495.06,0,-241130.11,7845.6265,1359680.1
2000,169.04124,-242437.44,0,-241039.04,8187.1417,1359694
2500,175.56548,-242393.82,0,-240941.45,8460.1067,1359712.3
3000,181.41292,-242338.95,0,-240838.21,8742.9004,1359734.9
3500,189.34175,-242296.2,0,-240729.87,8982.5139,1359762.1
4000,195.72096,-242236.29,0,-240617.19,9342.3813,1359794
4500,201.84021,-242170.33,0,-240500.6,9654.0352,1359830.8
5000,209.56169,-242114.33,0,-240380.73,9989.9165,1359872.7
5500,216.74381,-242051.29,0,-240258.27,10352.346,1359919.7
6000,225.62432,-242000.15,0,-240133.66,10595.075,1359972.2
6500,232.49718,-241931.24,0,-240007.9,10976.033,1360030.2
7000,240.62562,-241872.26,0,-239881.68,11317.433,1360093.9
7500,248.193,-241809.18,0,-239755.99,11641.399,1360163.5
8000,256.55948,-241754.15,0,-239631.75,11912.071,1360239.2
8500,264.83607,-241701.1,0,-239510.24,12216.872,1360321.1
9000,271.71547,-241640.39,0,-239392.62,12490.069,1360409.4
9500,278.63224,-241585.37,0,-239280.38,12781.517,1360504.2
10000,285.88202,-241540.19,0,-239175.23,12988.846,1360605.7
10500,290.71016,-241483.85,0,-239078.95,13272.55,1360713.9
11000,294.32165,-241428.6,0,-238993.81,13531.702,1360829
11500,301.21893,-241414.13,0,-238922.29,13565.907,1360951
12000,302.91452,-241373.94,0,-238868.07,13711.575,1361080
12500,306.47169,-241369.97,0,-238834.68,13670.971,1361216
13000,306.5469,-241362.19,0,-238826.28,13694.533,1361358.9
13500,305.40292,-241370.37,0,-238843.92,13498.914,1361508.8
14000,303.128,-241389.26,0,-238881.63,13344.096,1361665.4
14500,300.8101,-241415.4,0,-238926.94,13063.491,1361828.7
15000,297.3069,-241427.13,0,-238967.66,12899.727,1361998.4
15500,295.9298,-241443.94,0,-238995.85,12732.557,1362174.4
16000,295.89754,-241454.56,0,-239006.74,12537.99,1362356.5
16500,296.91696,-241454.59,0,-238998.33,12547.234,1362544.6
17000,297.11057,-241430.7,0,-238972.84,12500.571,1362738.5
17500,299.27383,-241414,0,-238938.25,12538.061,1362938.1
18000,301.30088,-241396.29,0,-238903.78,12494.194,1363143.3
18500,303.03585,-241384.27,0,-238877.4,12500.804,1363353.9
19000,304.01255,-241379.12,0,-238864.17,12383.305,1363569.9
19500,302.90595,-241372.86,0,-238867.07,12289.215,1363791
20000,303.72866,-241397.82,0,-238885.21,12000.321,1364016.9
20500,300.7004,-241400.63,0,-238913.08,11919.134,1364247.6
21000,299.10988,-241417.37,0,-238942.98,11696.663,1364482.6
21500,298.27387,-241434.73,0,-238967.26,11507.583,1364721.7
22000,296.78363,-241436,0,-238980.85,11351.902,1364964.6
22500,296.78674,-241435.68,0,-238980.51,11228.909,1365211
23000,296.7074,-241421.16,0,-238966.64,11154.502,1365460.6
23500,298.64672,-241413.23,0,-238942.67,11106.943,1365713.3
24000,301.26,-241407.52,0,-238915.34,11002.989,1365968.7
24500,301.15622,-241382.87,0,-238891.55,11000.972,1366226.6
25000,302.73591,-241380.54,0,-238876.15,10858.43,1366486.8
25500,303.29424,-241381.69,0,-238872.68,10754.43,1366749
26000,301.90365,-241379.24,0,-238881.73,10593.705,1367012.8
26500,301.2434,-241392.84,0,-238900.8,10416.268,1367278.1
27000,300.20034,-241407.66,0,-238924.25,10178.924,1367544.4
27500,299.57312,-241424.3,0,-238946.07,9975.7736,1367811.5
28000,296.82704,-241416.44,0,-238960.93,9865.6264,1368079
28500,297.75722,-241428.6,0,-238965.39,9650.1182,1368346.6
29000,297.19942,-241416.74,0,-238958.15,9586.515,1368614.1
29500,298.41128,-241409.65,0,-238941.04,9514.581,1368881.1
30000,300.96431,-241408.28,0,-238918.55,9357.9064,1369147.6
30500,302.50742,-241398.72,0,-238896.22,9355.8977,1369413.2
31000,302.73698,-241383.83,0,-238879.43,9275.0057,1369677.9
31500,302.1811,-241371.4,0,-238871.6,9188.1861,1369941.3
32000,302.25567,-241374.8,0,-238874.39,9059.3949,1370203.2
32500,301.44721,-241380.75,0,-238887.02,8895.547,1370463.6
33000,299.47338,-241383.19,0,-238905.79,8666.4143,1370722.2
33500,298.60449,-241395.75,0,-238925.54,8452.5818,1370978.8
34000,297.10228,-241399.07,0,-238941.29,8425.0331,1371233.2
34500,298.34724,-241417.16,0,-238949.08,8156.2152,1371485.3
35000,297.65449,-241408.86,0,-238946.51,8058.8534,1371734.9
35500,298.28699,-241401.88,0,-238934.29,7974.6141,1371982
36000,300.386,-241400.35,0,-238915.4,7829.6916,1372226.5
36500,302.15022,-241394.14,0,-238894.6,7759.4305,1372468.4
37000,301.85827,-241374.15,0,-238877.02,7701.7292,1372707.5
37500,301.34195,-241359.39,0,-238866.53,7713.863,1372944
38000,303.30149,-241374.45,0,-238865.38,7567.1249,1373177.7
38500,302.33393,-241374.66,0,-238873.59,7443.0358,1373408.8
39000,300.87329,-241377.58,0,-238888.6,7204.9176,1373637.1
39500,299.23787,-241381.75,0,-238906.3,7105.3066,1373862.6
40000,299.08947,-241396.12,0,-238921.9,6853.7402,1374085.4
40500,298.20023,-241398.19,0,-238931.32,6764.1286,1374305.4
41000,297.86659,-241396.31,0,-238932.2,6606.1615,1374522.6
41500,297.25606,-241382.97,0,-238923.91,6674.7458,1374737.1
