LAMMPS (2 Aug 2023)
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392
Created orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  1 by 2 by 2 MPI processor grid
Created 64000 atoms
  using lattice units in orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  create_atoms CPU = 0.003 seconds
32000 atoms in group Ba
32000 atoms in group O
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:474)
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:474)
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:474)
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 8 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 16.41 | 16.41 | 16.41 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   2100          -243821.04      0             -226448.75      13334.72       1359662.5    
       500   1095.5463     -235171         0             -226108.08      48611.225      1359664.3    
      1000   1150.647      -235116.25      0             -225597.5       49300.255      1359669.7    
      1500   1183.2772     -234799.83      0             -225011.15      51072.93       1359678.8    
      2000   1226.9415     -234518.58      0             -224368.68      52553.266      1359691.7    
      2500   1269.2979     -234181.05      0             -223680.76      54308.947      1359708.5    
      3000   1317.3394     -233850.94      0             -222953.22      56427.788      1359729.5    
      3500   1366.7304     -233498.16      0             -222191.86      58217.957      1359754.6    
      4000   1415.3713     -233109.85      0             -221401.16      60175.727      1359784.1    
      4500   1468.0793     -232730.26      0             -220585.55      62044.611      1359818      
      5000   1533.3234     -232434.05      0             -219749.6       63665.004      1359856.6    
      5500   1582.8242     -231992.73      0             -218898.79      66043.954      1359900      
      6000   1636.0776     -231573.18      0             -218038.7       68341.087      1359948.3    
      6500   1694.0121     -231189         0             -217175.25      70302.477      1360001.7    
      7000   1748.9536     -230783.74      0             -216315.49      72182.115      1360060.3    
      7500   1808.0626     -230424.64      0             -215467.41      74165.51       1360124.3    
      8000   1868.1875     -230094.5       0             -214639.88      75949.717      1360193.9    
      8500   1915.2971     -229685.68      0             -213841.35      78013.585      1360269.1    
      9000   1964.2879     -229334.48      0             -213084.87      79756.849      1360350.2    
      9500   2014.9644     -229050.55      0             -212381.72      81092.289      1360437.2    
     10000   2047.5374     -228685.64      0             -211747.34      82985.93       1360530.2    
     10500   2083.9029     -228438.04      0             -211198.91      84222.332      1360629.4    
     11000   2118.7135     -228286.88      0             -210759.78      84856.945      1360734.7    
     11500   2145.5283     -228203.77      0             -210454.85      85456.077      1360846.4    
     12000   2150.9022     -228109.09      0             -210315.71      85727.003      1360964.4    
     12500   2132.4589     -228005.12      0             -210364.32      86031.591      1361088.6    
