0,900,-243821.04,0,-236375.77,5536.2926,1359662.5
500,456.63751,-240004.36,0,-236226.82,21840.37,1359664.4
1000,487.00356,-240038.46,0,-236009.71,22121.329,1359670
1500,500.9814,-239903.74,0,-235759.37,22779.191,1359679.6
2000,515.69978,-239751.64,0,-235485.5,23714.332,1359693.1
2500,534.51298,-239613.56,0,-235191.79,24426.496,1359710.8
3000,552.55859,-239452.14,0,-234881.09,25350.086,1359732.8
3500,572.9461,-239295.18,0,-234555.47,26181.946,1359759.1
4000,597.31073,-239158.14,0,-234216.87,26926.045,1359790.1
4500,618.20275,-238981.1,0,-233867,28044.006,1359825.8
5000,639.60907,-238798.99,0,-233507.81,29005.466,1359866.3
5500,661.03539,-238609.62,0,-233141.19,30014.538,1359911.9
6000,686.9631,-238452.22,0,-232769.31,30877.766,1359962.7
6500,709.15715,-238261.02,0,-232394.51,31802.009,1360018.9
7000,732.26014,-238077.25,0,-232019.62,32803.95,1360080.7
7500,755.74165,-237899.44,0,-231647.55,33933.22,1360148.2
8000,781.39286,-237745.68,0,-231281.59,34649.978,1360221.5
8500,802.2284,-237562.21,0,-230925.76,35664.671,1360300.9
9000,825.87329,-237416.14,0,-230584.08,36431.787,1360386.5
9500,848.06844,-237277,0,-230261.33,37021.516,1360478.4
10000,863.88057,-237109.44,0,-229962.97,37980.137,1360576.7
10500,881.21215,-236985.75,0,-229695.9,38546.925,1360681.7
11000,896.86173,-236886.71,0,-229467.4,39165.138,1360793.3
11500,911.24378,-236825.25,0,-229286.97,39501.984,1360911.6
12000,914.68902,-236733.26,0,-229166.48,39850.351,1361036.7
12500,919.0233,-236720.87,0,-229118.24,39942.996,1361168.7
13000,916.43933,-236731.49,0,-229150.23,39925.03,1361307.4
13500,907.17575,-236755.35,0,-229250.73,39511.707,1361452.8
14000,898.98881,-236821.15,0,-229384.24,39243.065,1361604.9
14500,894.20059,-236909.11,0,-229511.82,38724.079,1361763.5
15000,889.76831,-236967.31,0,-229606.69,38325.982,1361928.4
15500,882.79612,-236954.65,0,-229651.7,38195.625,1362099.6
16000,884.22986,-236952.63,0,-229637.82,38098.666,1362276.9
16500,890.95533,-236939.93,0,-229569.48,38016.889,1362460.3
17000,895.74545,-236878.16,0,-229468.09,38386.531,1362649.7
17500,906.31666,-236860.85,0,-229363.33,38325.174,1362844.9
18000,911.35329,-236819.7,0,-229280.51,38608.823,1363046.1
18500,913.54101,-236794.01,0,-229236.72,38662.94,1363252.9
19000,912.05197,-236787.76,0,-229242.8,38527.762,1363465.4
19500,908.67685,-236813.79,0,-229296.75,38299.973,1363683.3
20000,905.1055,-236868.93,0,-229381.43,38005.87,1363906.5
20500,898.40889,-236904.74,0,-229472.64,37630.748,1364134.7
21000,887.3852,-236889,0,-229548.08,37649.276,1364367.7
21500,891.25469,-236962.84,0,-229589.91,37017.932,1364605.3
22000,888.6535,-236940.74,0,-229589.34,37034.94,1364847.3
22500,895.325,-236953.75,0,-229547.16,36891.94,1365093.4
23000,896.47937,-236891.36,0,-229475.21,37246.662,1365343.5
23500,899.13567,-236831.9,0,-229393.78,37306.408,1365597.3
24000,908.43754,-236839.28,0,-229324.21,37307.672,1365854.6
24500,908.35166,-236797.41,0,-229283.05,37383.634,1366115.3
25000,907.77603,-236788.88,0,-229279.28,37382.002,1366379
25500,906.04871,-236809.16,0,-229313.86,36917.018,1366645.5
26000,902.41537,-236842.16,0,-229376.91,36866.166,1366914.6
26500,895.71678,-236860.32,0,-229450.48,36418.624,1367185.9
